COMMIT,RELATED ISSUES/PRS,IS SAR?,LOCATION,PHRASE,KEYWORDS,FINAL STATE
92a5b6b2129ce9f42c57922b67cc2346a827e468,5459,YES,Commit --> PR/Issue Title,Rename ExchangeCode.kt file,rename,TP
8864c5d687df432021a4409aad4e0448ed030c5a,3103,NO,,,,FP
3f305a6859af29d9a9b052d702d96490cff169fc,,NO,,,,TN
a0b26361d48fc88c853bc717df3adfe8ead77711,,NO,,,,TN
f2d815ca153c07e99524524ba07b383acb5d717e,4749,YES,Commit --> PR/Issue Title,Kotlin Platform refactor,refactor,TP
9a6b84319e6ae8dff2f6af67d1083fe7b3050e5c,4603,YES,Commit,"Initial refactoring towards a Transmitter abstraction; moves all calls into StreamAllocation, RealConnection, and
HttpCodec into a new Transmitter type",refactoring,TP
f24f4130acbe91cdc23a35df62e5fd5bf62aca54,4359,NO,,,,FP
f2461183e8a70bae2362a5237772844a48e16100,,YES,Commit,Refactor towards an OkHttpClient.Builder.,refactor,TP
51ca7c55da6fac733eb08a613c1c614ad2e66b5f,3476,YES,Commit,cleanup; move response body events to codec,"cleanup, move",TP
5bfc8f661327de18cf141998bb87ba90aa6dd9b7,5720,NO,,,,TN
96b5f0c93d97af0c10c654f74d66a63979d3e3e1,5742,NO,,,,TN
76b7d585e03b78725f8a276714b233a14cd9c217,3504,YES,Commit,refactor test,refactor,TP
